NUTS_ID,Country,Name,Exposed_Total,Regional_Total,Pct_Total,Exposed_Under15,Regional_Under15,Pct_Under15,Exposed_15_64,Regional_15_64,Pct_15_64,Exposed_65plus,Regional_65plus,Pct_65plus
NL42,NL,Limburg (NL),0,1116189,0.0,0,142542,0.0,0,702737,0.0,0,270812,0.0
NO02,NO,Innlandet,0,370354,0.0,0,55619,0.0,0,230561,0.0,0,84176,0.0
NO06,NO,Trøndelag,0,450732,0.0,0,76362,0.0,0,292563,0.0,0,81807,0.0
NO07,NO,Nord-Norge,0,413877,0.0,0,66012,0.0,0,265125,0.0,0,82740,0.0
NO08,NO,Oslo og Viken,0,1919261,0.0,0,330749,0.0,0,1281268,0.0,0,307245,0.0
NO09,NO,Agder og Sør-Østlandet,21,694719,0.0,0,118404,0.0,15,441579,0.0,6,134736,0.0
NO0A,NO,Vestlandet,531,1251654,0.04,123,228048,0.05,345,807744,0.04,63,215862,0.03
PL22,PL,Śląskie,0,4304265,0.0,0,633482,0.0,0,2778896,0.0,0,844056,0.0
PL41,PL,Wielkopolskie,0,3454240,0.0,0,559314,0.0,0,2266841,0.0,0,595729,0.0
PL42,PL,Zachodniopomorskie,0,1601923,0.0,0,226414,0.0,0,1043631,0.0,0,314689,0.0
PL43,PL,Lubuskie,0,966429,0.0,0,115245,0.0,0,612083,0.0,0,170554,0.0
PL51,PL,Dolnośląskie,0,2827802,0.0,0,366441,0.0,0,1799298,0.0,0,517474,0.0
PL52,PL,Opolskie,0,909294,0.0,0,106924,0.0,0,595534,0.0,0,160596,0.0
PL62,PL,Warmińsko-mazurskie,0,1319222,0.0,0,193610,0.0,0,860221,0.0,0,232562,0.0
PL81,PL,Lubelskie,0,1976096,0.0,0,290712,0.0,0,1271557,0.0,0,386381,0.0
PL82,PL,Podkarpackie,0,1976769,0.0,0,312494,0.0,0,1291713,0.0,0,360822,0.0
PL84,PL,Podlaskie,105,1094587,0.01,18,161589,0.01,62,706790,0.01,25,199435,0.01
PL91,PL,Warszawski stołeczny,0,3244113,0.0,0,536870,0.0,0,2123180,0.0,0,578738,0.0
PL92,PL,Mazowiecki regionalny,0,2234649,0.0,0,348329,0.0,0,1447333,0.0,0,401780,0.0
PT11,PT,Norte,14817,3568258,0.42,1557,437734,0.36,9354,2324721,0.4,3906,805796,0.48
PT15,PT,Algarve,1857,461245,0.4,212,62102,0.34,1101,289834,0.38,544,109312,0.5
PT16,PT,Centro (PT),18968,2220116,0.85,1783,262328,0.68,10683,1357014,0.79,6502,600777,1.08
PT17,PT,Área Metropolitana de Lisboa,2544,2837821,0.09,274,407050,0.07,1614,1818654,0.09,656,612117,0.11
PT18,PT,Alentejo,425,704285,0.06,62,87133,0.07,266,426816,0.06,97,190332,0.05
PT20,PT,Região Autónoma dos Açores,0,220347,0.0,0,32156,0.0,0,151769,0.0,0,36422,0.0
PT30,PT,Região Autónoma da Madeira,2142,245103,0.87,196,31264,0.63,1267,165047,0.77,679,48792,1.39
RO11,RO,Nord-Vest,1066,2520203,0.04,172,413524,0.04,670,1645655,0.04,224,461024,0.05
RO12,RO,Centru,597,2271207,0.03,70,381186,0.02,369,1444421,0.03,158,445600,0.04
RO21,RO,Nord-Est,723,3224883,0.02,174,594054,0.03,430,2038853,0.02,119,591976,0.02
RO22,RO,Sud-Est,966,2370076,0.04,130,369863,0.04,617,1507523,0.04,219,492690,0.04
RO31,RO,Sud-Muntenia,1531,2864247,0.05,225,430193,0.05,960,1832668,0.05,346,601386,0.06
RO41,RO,Sud-Vest Oltenia,2786,1875861,0.15,439,268580,0.16,1724,1214698,0.14,623,392583,0.16
RO42,RO,Vest,4423,1668427,0.27,478,251880,0.19,2704,1078812,0.25,1241,337741,0.37
RS11,RS,City of Belgrade,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
RS12,RS,Autonomous Province of Vojvodina,0,556,0.0,0,81,0.0,0,328,0.0,0,150,0.0
RS21,RS,Region Šumadije i Zapadne Srbije,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
RS22,RS,Region Južne i Istočne Srbije,0,622,0.0,0,92,0.0,0,429,0.0,0,101,0.0
